year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,31,51.1000,50.8800,50.8800,51.1000,3554
2018,2,2,9,32,50.8700,50.6600,50.6411,50.8900,122609
2018,2,2,9,33,50.6600,50.6400,50.6300,50.8100,26783
2018,2,2,9,34,50.6100,50.5000,50.4800,50.7000,26854
2018,2,2,9,35,50.4800,50.5805,50.4200,50.5805,16314
2018,2,2,9,36,50.6500,50.5800,50.5684,50.6900,16781
2018,2,2,9,37,50.6200,50.5799,50.5000,50.6245,30566
2018,2,2,9,38,50.5700,50.7250,50.5600,50.7250,27654
2018,2,2,9,39,50.7000,50.7899,50.6300,50.7899,23911
2018,2,2,9,40,50.7346,50.7000,50.6800,50.8000,10324
2018,2,2,9,41,50.7100,50.8695,50.7100,50.8695,2016
2018,2,2,9,42,50.8300,50.9500,50.8300,50.9590,5549
2018,2,2,9,43,50.9750,51.0400,50.9728,51.0750,30549
2018,2,2,9,44,51.0320,51.1000,51.0000,51.1400,27024
2018,2,2,9,45,51.1000,51.1300,51.0900,51.2000,41170
2018,2,2,9,46,51.1300,51.1100,51.0868,51.1307,22563
2018,2,2,9,47,51.1100,51.1500,51.1000,51.1600,6792
2018,2,2,9,48,51.1602,51.2600,51.1600,51.3300,20878
2018,2,2,9,49,51.2352,51.2900,51.2313,51.3340,3390
2018,2,2,9,50,51.3150,51.3849,51.3150,51.3900,6797
2018,2,2,9,51,51.3901,51.4400,51.3700,51.4500,3848
2018,2,2,9,52,51.4268,51.4160,51.4100,51.4400,1712
2018,2,2,9,53,51.4100,51.3000,51.3000,51.4300,7824
2018,2,2,9,54,51.3248,51.2000,51.2000,51.3342,3501
2018,2,2,9,55,51.2400,51.2200,51.2200,51.2800,5707
2018,2,2,9,56,51.2380,51.1550,51.1300,51.2500,3700
2018,2,2,9,57,51.1800,51.0700,51.0600,51.1800,6810
2018,2,2,9,58,51.0633,51.0650,51.0200,51.1300,8303
2018,2,2,9,59,51.0510,51.0300,51.0200,51.0550,3200
2018,2,2,10,0,51.0800,51.0500,51.0500,51.1200,2568
2018,2,2,10,1,51.0800,51.2500,51.0775,51.2600,5285
2018,2,2,10,2,51.2500,51.2120,51.1500,51.2500,4527
2018,2,2,10,3,51.2400,51.3000,51.2200,51.3000,1300
2018,2,2,10,4,51.3200,51.2300,51.2300,51.3300,1819
2018,2,2,10,5,51.2500,51.3052,51.2500,51.3100,2529
2018,2,2,10,6,51.3110,51.2100,51.2100,51.3110,7011
2018,2,2,10,7,51.2200,51.3100,51.2000,51.3100,2480
2018,2,2,10,8,51.3000,51.2800,51.2800,51.3100,2140
2018,2,2,10,9,51.2800,51.3300,51.2800,51.3400,2400
2018,2,2,10,10,51.3586,51.3200,51.3100,51.3586,4787
2018,2,2,10,11,51.3100,51.3300,51.2939,51.3300,2500
2018,2,2,10,12,51.3100,51.2384,51.2384,51.3200,4447
2018,2,2,10,13,51.2300,51.4000,51.2300,51.4200,6392
2018,2,2,10,14,51.3900,51.3968,51.3600,51.4100,2400
2018,2,2,10,15,51.3800,51.3771,51.3580,51.3900,5633
2018,2,2,10,16,51.3700,51.3300,51.3200,51.3800,1816
2018,2,2,10,17,51.3400,51.2500,51.2500,51.3701,11231
2018,2,2,10,18,51.2500,51.2900,51.2400,51.3000,3548
2018,2,2,10,19,51.2900,51.2900,51.2400,51.3100,4155
2018,2,2,10,20,51.2884,51.2900,51.2814,51.2900,1371
