year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,193.1200,193.1200,193.1200,193.1200,13521
2018,2,2,9,31,193.4400,193.0700,193.0700,193.4400,2373
2018,2,2,9,32,192.9200,191.7200,191.7100,192.9200,4231
2018,2,2,9,33,191.6200,190.1400,190.1400,192.1171,7058
2018,2,2,9,34,190.0801,189.8900,189.2800,190.8100,19168
2018,2,2,9,35,190.4150,190.4370,190.3830,190.4370,1250
2018,2,2,9,36,190.5900,189.4500,189.4500,190.7800,3545
2018,2,2,9,37,189.5100,189.9466,189.5000,189.9466,592
2018,2,2,9,38,190.0200,189.6900,189.6900,190.0400,1800
2018,2,2,9,39,189.6900,190.1000,189.6800,190.1000,8003
2018,2,2,9,40,190.1400,190.3899,190.1400,190.3899,1644
2018,2,2,9,41,190.2300,190.6700,190.2000,190.6800,2913
2018,2,2,9,42,190.5785,190.4400,190.4400,190.6900,6671
2018,2,2,9,43,190.4400,190.8600,190.3400,190.8600,2428
2018,2,2,9,44,190.9900,190.6200,190.6200,190.9900,1305
2018,2,2,9,45,190.4453,190.5000,190.3700,190.5000,1226
2018,2,2,9,46,190.3600,189.4150,189.2600,190.3600,4173
2018,2,2,9,47,189.3600,189.8317,189.3600,189.8317,2751
2018,2,2,9,48,189.8050,189.6200,189.6200,189.9848,2709
2018,2,2,9,49,189.4000,189.1800,189.1800,189.4400,900
2018,2,2,9,50,189.3550,189.4400,189.1200,189.4400,8131
2018,2,2,9,51,189.3200,189.3350,189.1800,189.3350,1700
2018,2,2,9,52,189.3350,189.7200,189.3350,189.7200,3420
2018,2,2,9,53,189.8050,190.3600,189.8050,190.4500,4728
2018,2,2,9,54,190.1600,190.2500,190.0400,190.3900,2708
2018,2,2,9,55,190.1100,189.5100,189.5100,190.1650,2650
2018,2,2,9,56,189.5100,189.4060,189.2100,189.5900,2131
2018,2,2,9,57,189.3500,189.1200,189.1200,189.3500,900
2018,2,2,9,58,189.1210,189.1100,189.0000,189.2500,10213
2018,2,2,9,59,189.0200,188.8200,188.6410,189.0200,3290
2018,2,2,10,0,188.6900,188.3100,188.2610,188.6900,2173
2018,2,2,10,1,188.3300,188.0100,188.0100,188.4500,2034
2018,2,2,10,2,188.2350,188.3100,188.1050,188.3100,10970
2018,2,2,10,3,188.2050,187.9250,187.8600,188.2429,5907
2018,2,2,10,4,187.9300,187.1400,187.1400,187.9300,7197
2018,2,2,10,5,187.3600,187.5400,187.3100,187.6200,6079
2018,2,2,10,6,187.4600,187.9500,187.3600,187.9500,7544
2018,2,2,10,7,188.0000,188.3900,188.0000,188.6800,5906
2018,2,2,10,8,188.5100,188.4300,188.4300,188.6500,1300
2018,2,2,10,9,188.5300,188.5200,188.5200,188.7400,1931
2018,2,2,10,10,188.5550,188.3190,188.0800,188.5550,3202
2018,2,2,10,11,188.1700,187.9900,187.9900,188.2100,4450
2018,2,2,10,12,187.9000,188.4200,187.9000,188.4700,3310
2018,2,2,10,13,188.3350,188.9600,188.3350,188.9600,3117
2018,2,2,10,14,188.8000,188.7200,188.6300,188.8700,1300
2018,2,2,10,15,188.8450,188.6900,188.6400,188.8450,700
2018,2,2,10,16,188.5900,188.4550,188.2900,188.5900,1598
2018,2,2,10,17,188.3000,188.2800,188.0450,188.3200,4262
2018,2,2,10,18,188.3800,188.2100,188.1900,188.4700,4700
2018,2,2,10,19,188.2400,188.3200,188.1350,188.3200,4257
2018,2,2,10,20,188.1550,188.1800,188.0800,188.1800,2600
2018,2,2,10,21,188.1500,188.0000,187.9100,188.2040,7550
2018,2,2,10,22,187.9100,188.1450,187.7400,188.1500,5384
2018,2,2,10,23,188.1550,188.2700,188.1300,188.2700,1673
2018,2,2,10,24,188.0938,188.6254,188.0938,188.6254,3506
2018,2,2,10,25,188.6900,188.4400,188.4400,188.6900,2840
2018,2,2,10,26,188.4400,188.6050,188.4000,188.6100,4377
2018,2,2,10,27,188.6000,188.4679,188.3200,188.6200,3316
2018,2,2,10,28,188.5300,188.6000,188.5300,188.6000,200
2018,2,2,10,29,188.5400,188.4850,188.2800,188.5400,2400
2018,2,2,10,30,188.3100,188.1195,188.0900,188.3850,2320
2018,2,2,10,31,188.0000,188.0000,188.0000,188.0750,688
2018,2,2,10,32,188.0400,188.1100,187.9400,188.1100,6841
2018,2,2,10,33,188.1100,187.6250,187.5400,188.1100,4480
2018,2,2,10,34,187.5500,187.7700,187.5300,187.7700,3420
2018,2,2,10,35,187.7900,187.7800,187.6100,187.7900,3011
2018,2,2,10,36,187.8850,187.7900,187.7900,187.9400,876
2018,2,2,10,37,187.8550,187.9514,187.8300,187.9800,1750
2018,2,2,10,38,188.0200,187.9000,187.8100,188.0500,6036
2018,2,2,10,39,187.8200,187.9000,187.8100,187.9000,1600
2018,2,2,10,40,187.9500,187.6500,187.6500,187.9500,4754
2018,2,2,10,41,187.6938,187.6800,187.6100,187.7500,6223
2018,2,2,10,42,187.6100,187.8900,187.5100,187.8900,8886
2018,2,2,10,43,187.8500,187.7500,187.7500,187.8550,1814
2018,2,2,10,44,187.7100,187.8200,187.6900,187.8600,3838
2018,2,2,10,45,187.9000,187.8750,187.7800,187.9100,3900
2018,2,2,10,46,187.8100,187.6200,187.6100,187.8750,5405
2018,2,2,10,47,187.7300,187.7300,187.6600,187.7300,400
2018,2,2,10,48,187.7377,187.7600,187.7159,187.8500,5783
2018,2,2,10,49,187.8500,188.1600,187.7900,188.1600,2390
2018,2,2,10,50,188.3100,188.5000,188.3100,188.5000,200
2018,2,2,10,51,188.3850,188.3600,188.2500,188.4900,2900
2018,2,2,10,52,188.3600,188.4444,188.3600,188.4500,1609
2018,2,2,10,53,188.4500,188.3400,188.3200,188.4500,1700
2018,2,2,10,54,188.2700,188.5400,188.2700,188.5400,2860
2018,2,2,10,55,188.5000,188.4547,188.3900,188.5100,1300
2018,2,2,10,56,188.4000,188.3500,188.2600,188.4299,2386
2018,2,2,10,57,188.2700,188.1500,188.1500,188.3539,1163
2018,2,2,10,58,188.2386,188.1300,188.1000,188.2500,1979
2018,2,2,10,59,188.1000,188.1450,188.0700,188.1900,2851
2018,2,2,11,0,188.2100,188.1000,188.0500,188.2200,8100
2018,2,2,11,1,188.2000,187.9900,187.8600,188.2000,3641
2018,2,2,11,2,187.9350,188.1000,187.9350,188.1600,1531
2018,2,2,11,3,188.1200,188.0150,187.9900,188.1200,1100
2018,2,2,11,4,187.9900,188.1300,187.9900,188.1300,2540
2018,2,2,11,5,188.0600,188.1000,188.0250,188.1700,5391
2018,2,2,11,6,188.1051,187.8898,187.8898,188.1051,2400
2018,2,2,11,7,187.8300,187.8600,187.8300,187.8700,800
2018,2,2,11,8,187.8100,187.9300,187.7400,187.9300,4882
2018,2,2,11,9,188.0805,188.1656,188.0600,188.2300,4300
2018,2,2,11,10,188.2000,188.3200,188.2000,188.3900,1050
2018,2,2,11,11,188.5100,188.2900,188.2000,188.5300,20000
2018,2,2,11,12,188.3216,187.8400,187.8400,188.4000,3055
2018,2,2,11,13,188.1200,188.3875,188.1200,188.5100,3297
2018,2,2,11,14,188.3400,188.3200,188.3000,188.4700,6165
2018,2,2,11,15,188.3300,188.2150,188.1400,188.3300,4039
2018,2,2,11,16,188.1400,188.1600,188.0500,188.1771,1455
2018,2,2,11,17,187.9600,188.0400,187.9600,188.2200,5579
2018,2,2,11,18,188.0475,188.0400,188.0200,188.0900,3160
2018,2,2,11,19,188.1000,188.3600,188.1000,188.3600,3067
2018,2,2,11,20,188.5200,188.3600,188.2600,188.5200,3536
2018,2,2,11,21,188.3700,188.3250,188.2900,188.4000,1300
2018,2,2,11,22,188.4200,188.7900,188.4200,188.7900,1200
2018,2,2,11,23,188.7600,188.7450,188.7200,188.9600,5360
2018,2,2,11,24,188.7450,188.8700,188.7450,188.9300,2377
2018,2,2,11,25,188.8700,188.8900,188.8200,188.9700,3014
2018,2,2,11,26,188.7500,188.6800,188.5250,188.8200,2370
2018,2,2,11,27,188.6411,188.8000,188.6411,188.8000,525
2018,2,2,11,28,188.6800,188.6700,188.5550,188.7900,3350
2018,2,2,11,29,188.7000,188.7150,188.6950,188.8000,3900
2018,2,2,11,30,188.7850,188.7300,188.5600,188.7850,2800
2018,2,2,11,31,188.7400,188.7600,188.7400,188.8100,1419
2018,2,2,11,32,188.8600,188.7600,188.6700,188.8600,1600
2018,2,2,11,33,188.7900,188.6800,188.6043,188.7900,1000
2018,2,2,11,34,188.6700,188.5500,188.5100,188.6700,3108
2018,2,2,11,35,188.4700,188.4050,188.3900,188.5300,3696
2018,2,2,11,36,188.4000,188.4250,188.4000,188.5600,2700
2018,2,2,11,37,188.4250,188.4350,188.2668,188.4400,1152
2018,2,2,11,38,188.4800,188.4000,188.3300,188.5300,2316
2018,2,2,11,39,188.4500,188.5300,188.4300,188.5700,1667
2018,2,2,11,40,188.4550,188.7600,188.4550,188.7600,1425
2018,2,2,11,41,188.7800,188.6500,188.6500,188.9100,3300
2018,2,2,11,42,188.8000,188.7800,188.6900,188.8650,5516
2018,2,2,11,43,188.7200,188.9300,188.6600,188.9300,8993
2018,2,2,11,44,188.8500,188.8400,188.8200,189.0400,9100
2018,2,2,11,45,188.7950,188.7191,188.6400,188.8500,2220
2018,2,2,11,46,188.7200,188.5900,188.5600,188.8400,4805
2018,2,2,11,47,188.6950,188.6600,188.6600,188.7250,800
2018,2,2,11,48,188.7050,189.0100,188.7050,189.0748,3939
2018,2,2,11,49,188.8700,189.1200,188.8500,189.1600,4590
2018,2,2,11,50,189.0300,189.1750,189.0300,189.1750,300
2018,2,2,11,51,189.2500,188.9200,188.7700,189.2500,2958
2018,2,2,11,52,188.8350,188.8750,188.8350,189.0050,400
2018,2,2,11,53,189.0150,189.0150,188.9000,189.1300,500
2018,2,2,11,54,189.1000,188.9000,188.8700,189.1000,1905
2018,2,2,11,55,188.8900,188.9900,188.8900,189.0700,3400
2018,2,2,11,56,189.1000,188.9900,188.8900,189.1100,4200
2018,2,2,11,57,188.8100,188.6000,188.5150,188.9100,1800
2018,2,2,11,58,188.5200,188.4900,188.4900,188.6300,1079
2018,2,2,11,59,188.4250,188.4500,188.4150,188.5700,2005
2018,2,2,12,0,188.3600,188.2620,188.1000,188.4450,3710
2018,2,2,12,1,188.2650,188.2700,188.0950,188.2700,5795
2018,2,2,12,2,188.3600,188.2300,188.0500,188.3600,4500
2018,2,2,12,3,188.2350,188.1700,188.1700,188.2350,300
2018,2,2,12,4,188.3500,188.3000,188.2400,188.3600,1500
2018,2,2,12,6,188.3200,188.2100,188.1650,188.3200,1800
2018,2,2,12,7,188.1400,188.1050,188.0800,188.1500,700
2018,2,2,12,8,188.0700,188.1902,188.0000,188.1902,2225
2018,2,2,12,9,188.1850,188.1800,188.1800,188.1850,800
2018,2,2,12,10,188.1100,188.1700,188.1100,188.2100,1705
2018,2,2,12,11,188.1200,188.2000,188.0400,188.2000,2300
2018,2,2,12,12,188.1500,188.3600,188.1500,188.3600,2800
2018,2,2,12,13,188.3600,188.5700,188.3600,188.6200,2100
2018,2,2,12,14,188.5200,188.7100,188.4100,188.7100,2816
2018,2,2,12,15,188.5800,188.5800,188.5300,188.6500,1200
2018,2,2,12,16,188.6100,188.6450,188.6100,188.7400,1300
2018,2,2,12,17,188.6450,188.5100,188.5100,188.7100,2300
