year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,74.8800,74.8000,74.7600,74.8800,128096
2018,2,2,9,31,74.8100,75.1000,74.8000,75.1000,23314
2018,2,2,9,32,75.1200,75.0800,75.0300,75.2500,24710
2018,2,2,9,33,75.0550,75.0200,75.0000,75.1400,14263
2018,2,2,9,34,75.0200,74.9199,74.9000,75.0700,24010
2018,2,2,9,35,74.9200,74.8300,74.8300,74.9500,10259
2018,2,2,9,36,74.8200,74.7600,74.7500,74.8900,24460
2018,2,2,9,37,74.7400,74.5800,74.5300,74.7900,18683
2018,2,2,9,38,74.5593,74.7000,74.5400,74.7400,15367
2018,2,2,9,39,74.6900,74.7300,74.6750,74.7500,14625
2018,2,2,9,40,74.7300,74.9500,74.7000,74.9500,22853
2018,2,2,9,41,74.9300,74.8200,74.8100,74.9300,32368
2018,2,2,9,42,74.8000,74.7201,74.6786,74.8000,13691
2018,2,2,9,43,74.7400,74.8600,74.7400,74.9200,34253
2018,2,2,9,44,74.8600,74.7400,74.7400,74.9530,17705
2018,2,2,9,45,74.7500,74.7600,74.7500,74.8700,17440
2018,2,2,9,46,74.7500,74.6500,74.5800,74.7500,16116
2018,2,2,9,47,74.6400,74.6500,74.5900,74.7800,20967
2018,2,2,9,48,74.6600,74.5900,74.5200,74.6600,19655
2018,2,2,9,49,74.6000,74.7000,74.6000,74.7500,18559
2018,2,2,9,50,74.7100,74.8900,74.7100,74.8900,13099
2018,2,2,9,51,74.8802,74.9200,74.8500,74.9700,27698
2018,2,2,9,52,74.9300,74.9850,74.9200,74.9950,31836
2018,2,2,9,53,74.9700,74.8800,74.8800,75.0100,52113
2018,2,2,9,54,74.8788,74.8950,74.8788,74.9600,24298
2018,2,2,9,55,74.9000,74.8500,74.7600,74.9000,28877
2018,2,2,9,56,74.8500,74.8200,74.7400,74.8700,15823
2018,2,2,9,57,74.8300,74.7400,74.7250,74.8500,12264
2018,2,2,9,58,74.7400,74.8000,74.7400,74.8200,16767
2018,2,2,9,59,74.7900,74.7100,74.7000,74.7900,11749
2018,2,2,10,0,74.7000,74.6500,74.6050,74.7300,25986
2018,2,2,10,1,74.6400,74.5400,74.5300,74.6600,44496
2018,2,2,10,2,74.5400,74.5300,74.4401,74.5600,67675
2018,2,2,10,3,74.5400,74.6300,74.5300,74.6700,9798
2018,2,2,10,4,74.6200,74.5100,74.5000,74.6200,13469
2018,2,2,10,5,74.5000,74.5152,74.5000,74.5300,27247
2018,2,2,10,6,74.5100,74.4700,74.3600,74.5100,29455
2018,2,2,10,7,74.4700,74.4900,74.4400,74.5800,30960
2018,2,2,10,8,74.4900,74.3900,74.3700,74.4900,15275
2018,2,2,10,9,74.4000,74.3701,74.3100,74.4400,16960
2018,2,2,10,10,74.3700,74.2300,74.2300,74.3700,41010
2018,2,2,10,11,74.2350,74.1550,74.0500,74.2350,35340
2018,2,2,10,12,74.1500,74.2100,74.0700,74.2100,26293
2018,2,2,10,13,74.2100,74.3286,74.1900,74.3400,32260
2018,2,2,10,14,74.3200,74.3000,74.2300,74.3400,15430
2018,2,2,10,15,74.2800,74.3957,74.2600,74.4100,12539
2018,2,2,10,16,74.3900,74.4201,74.3400,74.4300,8527
2018,2,2,10,17,74.4300,74.4300,74.4300,74.4900,11540
2018,2,2,10,18,74.4200,74.4300,74.3600,74.4601,13069
2018,2,2,10,19,74.4200,74.4500,74.3700,74.4500,10050
2018,2,2,10,20,74.4600,74.4600,74.4600,74.5300,13100
2018,2,2,10,21,74.4600,74.3300,74.3200,74.4700,12481
2018,2,2,10,22,74.3300,74.4400,74.3300,74.4400,9445
2018,2,2,10,23,74.4400,74.4600,74.4400,74.5150,12428
2018,2,2,10,24,74.4700,74.5600,74.4500,74.5600,10997
2018,2,2,10,25,74.5600,74.6000,74.5600,74.6200,8100
2018,2,2,10,26,74.6167,74.6000,74.5700,74.6500,13225
2018,2,2,10,27,74.6200,74.7400,74.6175,74.7500,13332
2018,2,2,10,28,74.7400,74.8200,74.7200,74.8200,14880
2018,2,2,10,29,74.8200,74.8100,74.7600,74.8400,15442
2018,2,2,10,30,74.8100,74.8100,74.7900,74.8400,16499
2018,2,2,10,31,74.8000,74.6500,74.6300,74.8000,16262
2018,2,2,10,32,74.6400,74.6800,74.6300,74.7100,7910
2018,2,2,10,33,74.6800,74.5400,74.5400,74.6800,7916
2018,2,2,10,34,74.5600,74.5750,74.5300,74.5899,9194
2018,2,2,10,35,74.5740,74.5500,74.5014,74.5999,12668
2018,2,2,10,36,74.5400,74.5000,74.5000,74.5700,9850
2018,2,2,10,37,74.4999,74.4400,74.4400,74.5102,7613
2018,2,2,10,38,74.4533,74.5401,74.4533,74.5600,16449
2018,2,2,10,39,74.5400,74.6100,74.5400,74.6150,30612
2018,2,2,10,40,74.6200,74.6800,74.5200,74.6900,36618
2018,2,2,10,41,74.6750,74.7100,74.6700,74.7500,19068
2018,2,2,10,42,74.7000,74.7400,74.6881,74.7500,12329
2018,2,2,10,43,74.7355,74.7200,74.6800,74.7500,16805
2018,2,2,10,44,74.7200,74.7300,74.6800,74.7500,27795
2018,2,2,10,45,74.7300,74.7400,74.6800,74.7400,16634
2018,2,2,10,46,74.7414,74.6300,74.6300,74.7450,18290
2018,2,2,10,47,74.6200,74.5500,74.4800,74.6200,11512
2018,2,2,10,48,74.5400,74.4300,74.4300,74.5400,10863
2018,2,2,10,49,74.4200,74.6200,74.4200,74.6355,23582
2018,2,2,10,50,74.6200,74.6100,74.5500,74.6200,8716
2018,2,2,10,51,74.6000,74.6300,74.5900,74.6800,17655
