year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,220.1100,220.1100,220.1100,220.1100,23268
2018,2,2,9,31,220.2950,219.2050,219.1900,220.2950,14587
2018,2,2,9,32,219.3825,219.5400,219.3825,219.5600,1900
2018,2,2,9,33,219.5000,219.9600,219.5000,219.9600,2774
2018,2,2,9,34,219.9900,220.2599,219.8850,220.3800,2398
2018,2,2,9,35,220.0100,220.1500,219.9200,220.3300,13936
2018,2,2,9,36,220.3900,220.2200,220.1800,220.7500,920
2018,2,2,9,37,220.5200,220.3300,220.2800,220.6880,2148
2018,2,2,9,38,220.3600,220.3700,220.3600,220.7750,1000
2018,2,2,9,39,220.3300,220.1500,220.1500,220.5000,2125
2018,2,2,9,40,220.1600,220.2400,220.1600,220.4900,1600
2018,2,2,9,41,220.1600,220.1700,220.1600,220.4750,1939
2018,2,2,9,42,220.2340,220.0000,219.8500,220.4850,9013
2018,2,2,9,43,220.0000,220.0500,220.0000,220.2200,2900
2018,2,2,9,44,220.0000,220.1300,220.0000,220.1300,4550
2018,2,2,9,45,220.0500,220.0000,219.9500,220.1400,3057
2018,2,2,9,46,220.0400,220.3000,219.9700,220.3400,6790
2018,2,2,9,47,220.2900,220.1200,220.0000,220.3550,4500
2018,2,2,9,48,220.1400,220.1600,220.0000,220.2950,1911
2018,2,2,9,49,220.0300,220.0800,220.0000,220.1935,2372
2018,2,2,9,50,220.0600,220.0000,219.9700,220.0750,3048
2018,2,2,9,51,220.0400,219.8400,219.8000,220.0800,8651
2018,2,2,9,52,219.8400,219.7200,219.5800,219.9300,3104
2018,2,2,9,53,219.7000,219.5000,219.5000,219.7460,4766
2018,2,2,9,54,219.6300,219.5000,219.5000,219.6300,2600
2018,2,2,9,55,219.5600,219.6100,219.5100,219.6900,1900
2018,2,2,9,56,219.5750,219.5700,219.5000,219.6400,14400
2018,2,2,9,57,219.6100,219.5099,219.3500,219.6300,24682
2018,2,2,9,58,219.4400,219.4900,219.4400,219.5100,3175
2018,2,2,9,59,219.5200,219.6800,219.4562,219.6800,5907
2018,2,2,10,0,219.6900,219.6000,219.6000,219.7400,1800
2018,2,2,10,1,219.5700,219.6400,219.5500,219.7700,1300
2018,2,2,10,2,219.7000,219.6000,219.5400,219.7500,3631
2018,2,2,10,3,219.5500,219.5300,219.5000,219.5600,3925
2018,2,2,10,4,219.5500,219.5000,219.4500,219.6000,8869
2018,2,2,10,5,219.5400,219.4400,219.4300,219.5400,4607
2018,2,2,10,6,219.3900,219.4000,219.1600,219.4000,7299
2018,2,2,10,7,219.4000,219.5470,219.3700,219.6400,13019
2018,2,2,10,8,219.6100,219.5400,219.5400,219.6100,1390
2018,2,2,10,9,219.6300,219.7450,219.6300,219.7450,3514
2018,2,2,10,10,219.6500,219.6200,219.5300,219.6900,5749
2018,2,2,10,11,219.5600,219.4150,219.3700,219.5600,5100
2018,2,2,10,12,219.4600,219.4800,219.4600,219.5000,1900
2018,2,2,10,13,219.4100,219.6300,219.4100,219.6700,5189
2018,2,2,10,14,219.5900,219.7600,219.5000,219.8300,4695
2018,2,2,10,15,219.7800,219.8700,219.7600,219.8700,500
2018,2,2,10,16,219.7900,219.8900,219.7900,219.9699,386
2018,2,2,10,17,219.9200,219.6400,219.6400,219.9200,4293
2018,2,2,10,18,219.6400,219.5000,219.5000,219.6400,2600
2018,2,2,10,19,219.4900,219.4200,219.3500,219.5300,2850
2018,2,2,10,20,219.4900,219.5000,219.4400,219.6300,5874
2018,2,2,10,21,219.5200,219.5000,219.4600,219.5201,1031
2018,2,2,10,22,219.4967,219.8150,219.4967,219.8150,6000
2018,2,2,10,23,219.9300,219.8394,219.8394,219.9300,2105
2018,2,2,10,24,219.7900,219.7200,219.7100,219.9400,2601
2018,2,2,10,25,219.8600,219.8350,219.7700,219.8600,2500
2018,2,2,10,26,219.7900,219.9200,219.7700,219.9200,4900
2018,2,2,10,27,219.9600,219.8000,219.8000,219.9600,800
2018,2,2,10,28,219.9200,219.9200,219.9200,219.9200,100
2018,2,2,10,29,219.8000,219.7400,219.5600,219.8700,14086
2018,2,2,10,30,219.7000,219.5100,219.5100,219.7000,947
2018,2,2,10,31,219.5700,219.2200,219.2200,219.5800,3139
2018,2,2,10,32,219.2500,219.0500,219.0500,219.2500,1809
2018,2,2,10,33,219.0800,219.0900,219.0750,219.2654,3100
2018,2,2,10,34,219.0550,219.1600,219.0500,219.1600,1100
2018,2,2,10,35,219.0300,219.1700,219.0300,219.3000,4344
2018,2,2,10,36,219.1300,219.1600,219.0800,219.1600,1600
2018,2,2,10,37,219.1900,219.2200,219.1100,219.2200,2841
2018,2,2,10,38,219.1000,219.2800,219.0500,219.2900,3067
2018,2,2,10,39,219.2100,219.0600,219.0600,219.2100,3641
2018,2,2,10,40,219.0900,218.9100,218.9100,219.0900,5100
2018,2,2,10,41,218.9300,218.8800,218.8100,218.9400,7766
2018,2,2,10,42,218.8500,218.7300,218.7300,218.8500,2700
2018,2,2,10,43,218.8050,219.0850,218.8050,219.1200,12754
2018,2,2,10,44,219.0850,219.0450,219.0400,219.0900,4830
2018,2,2,10,45,219.0200,218.8600,218.7100,219.0700,4406
2018,2,2,10,46,218.9799,218.8850,218.8369,218.9799,1656
2018,2,2,10,47,218.8743,218.6700,218.6700,218.9400,2200
2018,2,2,10,48,218.7600,218.9100,218.7250,218.9600,3977
2018,2,2,10,49,218.9100,219.1100,218.9100,219.1800,1600
2018,2,2,10,50,219.1800,219.0000,218.9800,219.1800,2700
2018,2,2,10,51,219.0000,219.1600,219.0000,219.1600,2538
2018,2,2,10,52,219.1250,219.0400,219.0200,219.1250,2100
2018,2,2,10,53,219.0500,219.0400,219.0400,219.0900,2976
2018,2,2,10,54,219.1700,219.0410,219.0410,219.1700,327
2018,2,2,10,55,219.1700,219.2200,219.1700,219.2200,959
2018,2,2,10,56,219.2300,219.1000,219.0550,219.2300,3141
2018,2,2,10,57,219.0900,219.1200,219.0500,219.1300,1800
2018,2,2,10,58,219.0500,219.1094,219.0400,219.1400,1827
2018,2,2,10,59,219.1300,219.0000,219.0000,219.1500,1200
2018,2,2,11,0,219.0600,218.9400,218.9200,219.1200,6436
2018,2,2,11,1,219.0100,218.9300,218.9200,219.0100,1300
2018,2,2,11,2,218.9400,218.8500,218.8500,218.9400,600
2018,2,2,11,3,218.9300,219.0000,218.9300,219.1000,2630
2018,2,2,11,4,219.0600,218.9850,218.9300,219.0600,588
2018,2,2,11,5,219.0200,218.7700,218.7700,219.0400,1970
2018,2,2,11,6,218.7500,218.7600,218.7500,218.7600,200
2018,2,2,11,7,218.8250,218.8250,218.7600,218.8900,4375
2018,2,2,11,8,218.8250,218.9000,218.7700,218.9200,2301
2018,2,2,11,9,218.8900,218.7300,218.7300,218.8900,4444
2018,2,2,11,10,218.8584,218.5300,218.5100,218.8584,3399
2018,2,2,11,11,218.5356,218.8800,218.4900,218.8800,6022
2018,2,2,11,12,218.7700,218.8550,218.7700,218.8800,675
2018,2,2,11,13,218.9300,218.9200,218.8700,218.9800,3500
2018,2,2,11,14,218.9200,218.9800,218.9200,218.9800,300
2018,2,2,11,15,218.9900,218.9600,218.9100,219.0399,3283
2018,2,2,11,16,219.0000,218.9600,218.9600,219.1400,4029
2018,2,2,11,17,218.9850,219.0000,218.8700,219.0000,2225
2018,2,2,11,18,218.9500,218.8780,218.8780,218.9600,1046
2018,2,2,11,19,218.8950,218.8900,218.8900,218.9390,601
2018,2,2,11,20,218.8500,218.7500,218.7100,218.8500,5812
2018,2,2,11,21,218.7587,218.8400,218.7587,218.8400,1240
2018,2,2,11,22,218.7323,218.9250,218.7323,218.9250,2035
2018,2,2,11,23,218.9300,218.9400,218.8500,219.0100,1114
2018,2,2,11,24,218.9100,218.9600,218.8100,218.9600,1000
2018,2,2,11,25,218.9700,218.8350,218.8000,218.9700,1016
2018,2,2,11,26,218.8100,218.7350,218.7000,218.8100,3839
2018,2,2,11,27,218.7350,218.6600,218.6100,218.7900,5500
2018,2,2,11,28,218.6500,218.7750,218.6500,218.7750,600
2018,2,2,11,29,218.8400,218.7200,218.6700,218.8400,2004
2018,2,2,11,30,218.7600,218.7900,218.7200,218.7900,300
2018,2,2,11,31,218.7900,218.8300,218.7900,218.8300,900
2018,2,2,11,32,218.8000,218.7400,218.6600,218.8400,2200
2018,2,2,11,33,218.7100,218.6900,218.5401,218.7100,1220
2018,2,2,11,34,218.7700,218.6300,218.6300,218.7700,631
2018,2,2,11,35,218.6050,218.5900,218.4900,218.6600,2000
2018,2,2,11,36,218.5300,218.5200,218.5200,218.6100,1700
2018,2,2,11,37,218.5088,218.6300,218.5088,218.6300,1100
2018,2,2,11,38,218.5866,218.6150,218.5700,218.6300,1086
2018,2,2,11,39,218.5800,218.6000,218.5300,218.6100,1660
2018,2,2,11,40,218.6100,218.6800,218.6100,218.6800,2700
2018,2,2,11,41,218.6800,218.7300,218.6400,218.7300,1200
2018,2,2,11,42,218.7800,218.7600,218.7600,218.8000,2590
2018,2,2,11,43,218.7300,218.7900,218.7000,218.8000,2158
2018,2,2,11,44,218.8000,218.7100,218.6650,218.8000,858
2018,2,2,11,45,218.7300,218.7000,218.7000,218.7300,300
2018,2,2,11,46,218.7000,218.7000,218.6000,218.7300,700
2018,2,2,11,47,218.7200,218.8000,218.6600,218.8000,1780
2018,2,2,11,48,218.7700,218.7500,218.7500,218.8600,2600
2018,2,2,11,49,218.7900,218.8600,218.7900,218.8600,700
2018,2,2,11,50,218.7600,218.7100,218.7100,218.7600,800
2018,2,2,11,51,218.7300,218.5900,218.5250,218.7300,1530
2018,2,2,11,52,218.5300,218.5400,218.5200,218.6100,2200
2018,2,2,11,53,218.6000,218.6800,218.6000,218.7000,1900
2018,2,2,11,54,218.7600,218.9600,218.7600,218.9600,1600
2018,2,2,11,55,219.3600,219.1000,218.8900,219.3600,8092
2018,2,2,11,56,219.0199,218.9500,218.9000,219.0333,2910
2018,2,2,11,57,218.8800,218.9100,218.8800,218.9100,937
2018,2,2,11,58,218.9300,218.8707,218.8000,218.9300,725
2018,2,2,11,59,218.8600,218.7550,218.7550,218.8600,1200
2018,2,2,12,0,218.7100,218.6200,218.5500,218.7500,1500
2018,2,2,12,1,218.4900,218.4115,218.3900,218.5100,600
2018,2,2,12,2,218.3900,218.5100,218.3900,218.5400,4100
2018,2,2,12,3,218.5000,218.8500,218.4700,218.8500,2720
2018,2,2,12,4,218.8300,218.8700,218.7678,218.8700,1050
2018,2,2,12,6,218.8800,218.8800,218.8800,218.8800,100
2018,2,2,12,7,218.9000,218.9000,218.8600,219.0150,1891
2018,2,2,12,8,218.9400,218.9500,218.9200,218.9500,890
2018,2,2,12,9,219.0100,218.9900,218.9500,219.0100,800
2018,2,2,12,10,218.9650,218.8297,218.8297,219.0300,2334
2018,2,2,12,11,218.7800,218.7648,218.7200,218.7876,999
2018,2,2,12,12,218.7750,218.8800,218.7750,218.8800,1500
2018,2,2,12,13,218.8900,218.9650,218.7900,218.9900,3131
2018,2,2,12,14,218.9700,219.0200,218.9200,219.0200,1800
2018,2,2,12,15,219.0900,218.9750,218.9400,219.0900,1300
2018,2,2,12,16,219.0700,219.2200,219.0700,219.2200,800
2018,2,2,12,17,219.2400,219.1150,219.1150,219.2400,700
2018,2,2,12,18,219.2400,219.2500,219.2400,219.2500,600
2018,2,2,12,19,219.2400,219.2400,219.2400,219.2500,500
2018,2,2,12,20,219.2400,219.2800,219.2400,219.2800,600
2018,2,2,12,21,219.3700,219.3190,219.3000,219.3800,2620
2018,2,2,12,22,219.3000,219.2300,219.2300,219.3000,200
2018,2,2,12,23,219.2300,219.3200,219.2300,219.3400,1859
2018,2,2,12,24,219.2900,219.4500,219.1500,219.4500,4400
2018,2,2,12,25,219.4200,219.3800,219.3800,219.4500,1613
2018,2,2,12,26,219.4200,219.4050,219.3700,219.4600,4020
2018,2,2,12,27,219.4000,219.4100,219.3700,219.4300,2921
2018,2,2,12,28,219.4100,219.4600,219.3800,219.5000,3082
2018,2,2,12,29,219.4200,219.4500,219.3800,219.4500,1255
2018,2,2,12,30,219.4500,219.6500,219.4500,219.6600,2700
2018,2,2,12,31,219.6200,219.5650,219.5300,219.6400,2154
2018,2,2,12,32,219.5600,219.5600,219.5600,219.5600,800
2018,2,2,12,33,219.5500,219.5100,219.4400,219.5500,1400
2018,2,2,12,34,219.5500,219.5400,219.5400,219.5500,700
