year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,35.0100,35.0100,35.0100,35.0100,13836
2018,2,2,9,31,34.8500,34.8897,34.8200,34.8897,2242
2018,2,2,9,32,34.8300,34.8700,34.8000,34.9000,1500
2018,2,2,9,33,34.8183,34.7100,34.7100,34.8200,4200
2018,2,2,9,34,34.6900,34.7100,34.6550,34.7200,1891
2018,2,2,9,35,34.7200,34.7900,34.7100,34.7900,800
2018,2,2,9,36,34.8200,34.9000,34.8200,34.9033,4281
2018,2,2,9,37,34.9300,34.9200,34.9100,34.9600,10395
2018,2,2,9,38,34.9200,35.0200,34.9200,35.0600,4279
2018,2,2,9,39,34.9500,34.9500,34.9500,34.9800,1100
2018,2,2,9,40,34.9400,34.9800,34.9400,34.9800,492
2018,2,2,9,41,35.0000,34.9900,34.9781,35.0000,987
2018,2,2,9,42,35.0200,35.1300,35.0200,35.1300,1332
2018,2,2,9,43,35.1000,35.1200,35.0800,35.1200,1300
2018,2,2,9,44,35.1200,35.1500,35.1200,35.1700,5072
2018,2,2,9,45,35.1700,35.1300,35.1300,35.1700,6053
2018,2,2,9,46,35.1490,35.1000,35.0900,35.1800,2759
2018,2,2,9,47,35.1100,35.1300,35.1000,35.1400,3355
2018,2,2,9,48,35.1500,35.1500,35.1300,35.1700,4572
2018,2,2,9,49,35.1500,35.2000,35.1500,35.2000,10506
2018,2,2,9,50,35.2000,35.2300,35.2000,35.2400,15945
2018,2,2,9,51,35.2200,35.2500,35.2100,35.2500,5531
2018,2,2,9,52,35.2700,35.2900,35.2600,35.3000,1600
2018,2,2,9,53,35.2900,35.3000,35.2900,35.3300,3300
2018,2,2,9,54,35.3300,35.2800,35.2800,35.3400,2381
2018,2,2,9,55,35.2900,35.2000,35.2000,35.3100,3106
2018,2,2,9,56,35.1900,35.1699,35.1699,35.2100,3150
2018,2,2,9,57,35.1700,35.1300,35.1300,35.1700,1186
2018,2,2,9,58,35.1000,35.1300,35.0900,35.1300,1300
2018,2,2,9,59,35.1400,35.1200,35.1100,35.1400,950
2018,2,2,10,0,35.1300,35.1400,35.1300,35.1500,1200
2018,2,2,10,1,35.1400,35.2400,35.1400,35.2400,2563
2018,2,2,10,2,35.2400,35.2300,35.2200,35.2400,1600
2018,2,2,10,3,35.2500,35.2800,35.2500,35.2800,530
2018,2,2,10,4,35.2700,35.2400,35.2400,35.2700,1900
2018,2,2,10,5,35.2400,35.2800,35.2400,35.2800,1161
2018,2,2,10,6,35.2700,35.2300,35.2100,35.2700,5200
2018,2,2,10,7,35.2100,35.2400,35.1900,35.2500,2606
2018,2,2,10,8,35.2600,35.2400,35.2300,35.2600,2154
2018,2,2,10,9,35.2500,35.3100,35.2500,35.3200,1400
2018,2,2,10,10,35.2900,35.3000,35.2800,35.3000,1500
2018,2,2,10,11,35.2900,35.2800,35.2600,35.2900,1400
2018,2,2,10,12,35.2600,35.2500,35.2500,35.2600,900
2018,2,2,10,13,35.2400,35.3700,35.2400,35.3900,4535
2018,2,2,10,14,35.3600,35.4000,35.3400,35.4000,2200
2018,2,2,10,15,35.3900,35.3600,35.3600,35.3900,1700
2018,2,2,10,16,35.3600,35.3200,35.3200,35.3800,2772
2018,2,2,10,17,35.3100,35.2900,35.2800,35.3100,1300
2018,2,2,10,18,35.2900,35.3000,35.2700,35.3000,1416
2018,2,2,10,19,35.3100,35.3000,35.2800,35.3100,1575
2018,2,2,10,20,35.2900,35.3000,35.2900,35.3000,500
2018,2,2,10,21,35.3100,35.3200,35.3000,35.3300,2477
2018,2,2,10,22,35.3100,35.2600,35.2600,35.3100,4302
2018,2,2,10,23,35.2500,35.2600,35.2400,35.2600,1200
2018,2,2,10,24,35.2600,35.2500,35.2500,35.2600,1500
2018,2,2,10,25,35.2400,35.1900,35.1900,35.2400,4100
2018,2,2,10,26,35.2000,35.2100,35.2000,35.2100,2532
2018,2,2,10,27,35.2000,35.1700,35.1500,35.2000,1900
2018,2,2,10,28,35.1600,35.1300,35.1200,35.1600,700
2018,2,2,10,29,35.1200,35.1200,35.1200,35.1500,4215
2018,2,2,10,30,35.1200,35.0800,35.0800,35.1200,4599
2018,2,2,10,31,35.0900,35.0600,35.0600,35.1000,2500
2018,2,2,10,32,35.0600,35.0900,35.0600,35.0900,2200
2018,2,2,10,33,35.0800,35.0200,35.0200,35.0800,3484
2018,2,2,10,34,35.0201,35.0201,34.9901,35.0201,3500
2018,2,2,10,35,35.0300,35.0500,35.0300,35.0500,3642
2018,2,2,10,36,35.0400,35.0300,35.0199,35.0400,2700
2018,2,2,10,37,35.0500,35.0400,35.0400,35.0500,1200
2018,2,2,10,38,35.0400,35.0500,35.0200,35.0500,3050
2018,2,2,10,39,35.0600,35.0400,35.0400,35.0600,3800
2018,2,2,10,40,35.0300,35.0700,35.0300,35.0800,3300
2018,2,2,10,41,35.0800,35.0900,35.0800,35.1000,1300
2018,2,2,10,42,35.0900,35.1200,35.0800,35.1200,2800
2018,2,2,10,43,35.1300,35.1200,35.1200,35.1300,900
2018,2,2,10,44,35.1100,35.1100,35.1000,35.1100,500
2018,2,2,10,45,35.1000,35.0800,35.0500,35.1000,5524
2018,2,2,10,46,35.0700,35.0800,35.0700,35.0800,600
2018,2,2,10,47,35.0900,35.0700,35.0700,35.1000,2000
2018,2,2,10,48,35.0800,35.0900,35.0800,35.1100,1300
2018,2,2,10,49,35.0900,35.0700,35.0700,35.0900,1801
2018,2,2,10,50,35.0650,35.0700,35.0600,35.0800,1600
2018,2,2,10,51,35.0700,35.1000,35.0700,35.1010,3036
2018,2,2,10,52,35.0900,35.1000,35.0900,35.1000,300
2018,2,2,10,53,35.1000,35.0900,35.0800,35.1000,1200
2018,2,2,10,54,35.0900,35.0800,35.0700,35.0900,2877
2018,2,2,10,55,35.0900,35.0900,35.0900,35.1100,1000
2018,2,2,10,56,35.0800,35.0800,35.0800,35.0900,924
2018,2,2,10,57,35.0800,35.0800,35.0700,35.0800,700
2018,2,2,10,58,35.0700,35.0000,34.9900,35.0700,3689
2018,2,2,10,59,35.0000,35.0000,35.0000,35.0200,3100
2018,2,2,11,0,35.0100,35.0000,35.0000,35.0100,1000
2018,2,2,11,1,35.0000,34.9800,34.9800,35.0000,1300
2018,2,2,11,2,34.9800,35.0000,34.9700,35.0000,1996
2018,2,2,11,3,34.9800,34.9900,34.9800,34.9900,500
2018,2,2,11,4,34.9700,34.9900,34.9700,34.9900,1400
2018,2,2,11,5,35.0100,35.0000,34.9800,35.0100,1600
2018,2,2,11,6,35.0000,34.9700,34.9700,35.0000,1100
2018,2,2,11,7,34.9700,34.9600,34.9600,34.9750,2900
2018,2,2,11,8,34.9600,34.9600,34.9500,34.9601,3700
2018,2,2,11,9,34.9600,34.9500,34.9500,34.9700,1400
2018,2,2,11,10,34.9600,34.9800,34.9600,34.9800,4900
2018,2,2,11,11,34.9800,35.0200,34.9800,35.0200,1600
2018,2,2,11,12,35.0200,35.0200,35.0200,35.0300,300
2018,2,2,11,13,35.0200,35.0100,35.0100,35.0200,588
2018,2,2,11,14,35.0200,35.0300,35.0200,35.0400,9549
2018,2,2,11,15,35.0200,34.9700,34.9700,35.0200,6062
2018,2,2,11,16,34.9800,34.9800,34.9800,34.9900,2968
2018,2,2,11,17,34.9800,34.9400,34.9400,34.9800,3443
2018,2,2,11,18,34.9400,34.9500,34.9300,34.9500,3704
2018,2,2,11,19,34.9700,35.0200,34.9700,35.0200,1800
2018,2,2,11,20,35.0200,35.0400,35.0200,35.0400,1380
2018,2,2,11,21,35.0400,35.0600,35.0400,35.0600,1100
2018,2,2,11,22,35.0600,35.0500,35.0400,35.0800,4452
2018,2,2,11,23,35.0590,35.0700,35.0590,35.0700,903
2018,2,2,11,24,35.0500,35.0500,35.0500,35.0500,100
2018,2,2,11,25,35.0500,35.0800,35.0500,35.0900,2050
2018,2,2,11,26,35.0800,35.0900,35.0700,35.1000,4848
2018,2,2,11,27,35.1000,35.1200,35.1000,35.1200,1400
2018,2,2,11,28,35.1100,35.1000,35.1000,35.1100,1700
2018,2,2,11,29,35.0900,35.0700,35.0700,35.1000,1300
2018,2,2,11,30,35.0800,35.0900,35.0800,35.0900,2700
2018,2,2,11,31,35.0800,35.0900,35.0800,35.1000,1500
2018,2,2,11,32,35.1000,35.1000,35.1000,35.1100,4915
2018,2,2,11,33,35.1000,35.0800,35.0700,35.1000,2200
2018,2,2,11,34,35.0750,35.0700,35.0700,35.0750,600
2018,2,2,11,35,35.0700,35.0200,35.0200,35.0700,3600
2018,2,2,11,36,35.0200,35.0100,35.0100,35.0250,1900
2018,2,2,11,37,35.0100,35.0100,35.0100,35.0200,1800
2018,2,2,11,38,35.0200,35.0200,35.0200,35.0200,300
2018,2,2,11,39,35.0200,35.0200,35.0200,35.0200,1500
2018,2,2,11,40,35.0200,35.0000,35.0000,35.0200,1500
2018,2,2,11,41,34.9800,34.9800,34.9800,34.9900,1000
2018,2,2,11,42,34.9900,34.9700,34.9650,34.9900,1000
2018,2,2,11,43,34.9900,34.9800,34.9700,34.9900,900
2018,2,2,11,44,34.9700,34.9800,34.9700,34.9800,400
2018,2,2,11,45,34.9800,34.9500,34.9300,34.9800,3699
2018,2,2,11,46,34.9400,34.9400,34.9300,34.9400,2200
