year,month,day,hour,minute,open,close,low,high,volume
2018,2,2,9,30,169.4200,169.4900,169.3300,169.4900,33867
2018,2,2,9,31,169.4900,169.6100,169.0000,169.9300,14420
2018,2,2,9,32,169.6700,168.7400,168.7400,169.7200,6115
2018,2,2,9,33,169.0000,169.0000,168.0000,169.2600,28739
2018,2,2,9,34,169.0600,169.5150,168.4300,169.9600,10972
2018,2,2,9,35,169.5000,169.8700,169.2683,169.9000,2204
2018,2,2,9,36,169.4250,169.2500,169.0500,169.8600,5265
2018,2,2,9,37,169.3400,168.9900,168.8150,169.5000,28292
2018,2,2,9,38,168.9000,168.3400,168.3400,169.1000,36976
2018,2,2,9,39,168.5500,167.3700,167.3700,168.8500,35000
2018,2,2,9,40,167.7100,167.8900,166.5050,167.9000,28312
2018,2,2,9,41,167.9700,168.1200,167.6400,168.1200,11972
2018,2,2,9,42,168.1300,168.5950,167.9709,168.9800,14084
2018,2,2,9,43,168.4700,168.3699,168.0600,168.5750,7555
2018,2,2,9,44,168.0900,167.9800,167.6700,168.1100,25141
2018,2,2,9,45,167.9050,168.6350,167.7000,168.6350,10710
2018,2,2,9,46,168.3300,168.5000,168.0900,168.8500,12889
2018,2,2,9,47,168.4100,168.3200,168.1000,168.5000,28619
2018,2,2,9,48,168.3200,168.2800,168.2500,168.4200,4912
2018,2,2,9,49,168.2600,167.7350,167.7350,168.2600,6439
2018,2,2,9,50,167.7350,167.9600,167.6600,167.9700,13194
2018,2,2,9,51,167.9600,167.0100,166.8300,167.9600,9859
2018,2,2,9,52,167.0650,167.4500,167.0650,167.5600,7949
2018,2,2,9,53,167.4900,167.7000,167.1400,167.7000,7090
2018,2,2,9,54,167.5300,166.9300,166.9300,167.8400,12658
2018,2,2,9,55,167.0900,166.7300,166.5800,167.2000,5975
2018,2,2,9,56,166.8500,166.7700,166.2600,166.8500,10306
2018,2,2,9,57,166.6800,166.8000,166.4900,167.1100,22803
2018,2,2,9,58,167.0600,166.9100,166.9100,167.3000,10552
2018,2,2,9,59,167.0600,167.4500,167.0600,167.4500,5700
2018,2,2,10,0,167.4500,167.2900,167.1600,167.5000,17600
2018,2,2,10,1,167.1200,167.0400,167.0400,167.5000,28093
2018,2,2,10,2,167.0100,166.7225,166.6400,167.0600,3400
2018,2,2,10,3,166.7500,166.5500,166.4490,166.8500,13620
