year,month,day,hour,minute,open,close,low,high,volume
2018,2,8,11,44,116.9000,116.8500,116.8400,116.9000,609
2018,2,8,11,45,116.9700,116.9900,116.9100,117.0300,1500
2018,2,8,11,46,116.9300,116.9800,116.8200,116.9800,900
2018,2,8,11,47,117.0800,116.8700,116.8700,117.1300,800
2018,2,8,11,48,117.0000,117.0500,117.0000,117.0500,400
2018,2,8,11,49,116.9300,116.8800,116.8800,116.9400,900
2018,2,8,11,50,116.8000,116.8000,116.8000,116.8000,200
2018,2,8,11,51,117.0300,117.1700,117.0200,117.1700,866
2018,2,8,11,52,117.1750,117.1750,117.1750,117.1750,100
2018,2,8,11,53,117.3000,117.4500,117.3000,117.4800,1400
2018,2,8,11,54,117.4900,117.3900,117.3900,117.4900,1400
2018,2,8,11,55,117.3600,117.3400,117.3400,117.3600,800
2018,2,8,11,57,117.3500,117.3100,117.3100,117.4000,805
2018,2,8,11,59,117.3000,117.1700,117.1700,117.3000,1794
2018,2,8,12,0,117.2500,117.2700,117.2400,117.2700,600
2018,2,8,12,1,117.2250,117.1600,117.1600,117.2250,400
2018,2,8,12,2,117.2900,117.2900,117.2400,117.3500,800
2018,2,8,12,4,117.1900,117.2650,117.1900,117.2650,200
2018,2,8,12,5,117.1900,117.1900,117.1900,117.1900,100
2018,2,8,12,6,117.2300,117.1900,117.0700,117.3000,1407
2018,2,8,12,7,117.0700,117.0100,117.0100,117.0700,407
2018,2,8,12,8,116.9900,117.0500,116.9900,117.0500,800
2018,2,8,12,10,116.9150,116.9100,116.8700,116.9150,400
2018,2,8,12,12,116.9050,116.9050,116.9050,116.9050,100
2018,2,8,12,15,116.9700,117.0100,116.9500,117.0100,800
2018,2,8,12,16,116.8300,116.9400,116.8300,116.9400,200
2018,2,8,12,17,116.9400,116.8900,116.8700,116.9500,1100
2018,2,8,12,18,116.8400,116.8400,116.8400,116.8400,100
2018,2,8,12,19,116.8500,116.8400,116.7600,116.8500,1500
2018,2,8,12,21,116.8100,116.7900,116.6900,116.8100,3905
2018,2,8,12,22,116.7750,116.5700,116.5700,116.7750,1000
2018,2,8,12,23,116.5000,116.6000,116.4600,116.6000,400
2018,2,8,12,24,116.6000,116.6100,116.6000,116.6100,300
2018,2,8,12,25,116.5500,116.5200,116.5100,116.5500,1500
2018,2,8,12,26,116.4200,116.4200,116.4200,116.4200,200
2018,2,8,12,27,116.3300,116.2800,116.2800,116.3300,1358
2018,2,8,12,28,116.3000,116.3100,116.2400,116.3100,1000
2018,2,8,12,30,116.4000,116.2300,116.2300,116.4000,404
2018,2,8,12,31,116.3712,116.3600,116.3600,116.4100,1070
2018,2,8,12,32,116.3000,116.2700,116.2700,116.3000,200
